    101  !  (c)  2019  Oklahoma  Climatological  Survey  and  the  Oklahoma  Mesonet  -  all  rights  reserved
	21  2019  09  28  00  00  00
  STID    STNM    TIME      RELH      TAIR      WSPD      WVEC    WDIR      WDSD      WSSD      WMAX        RAIN          PRES    SRAD      TA9M      WS2M      TS10      TB10      TS05      TS25      TS60        TR05        TR25        TR60
	  SEIL        83          0          25      12.5        4.9        4.8      226        7.2        0.7        7.2        0.00      946.71          2      13.4        3.3      -999        6.3        5.0        4.1        5.8        1.63        1.70        1.89
		 SEMI      143          0          35      11.5        2.3        2.2      198        7.6        0.3        3.2        0.00      978.84          1      12.5        1.4        7.6      -999        8.2        5.9        6.9        1.32        1.41        1.45
		SHAW        84          0          41      10.6        3.3        3.3      204        5.3        0.3        4.0        0.00      974.33          2      12.3        2.3        6.4        8.1        6.9        5.6        7.0        1.57        1.50        1.42
		 SKIA        85          0          46        9.8        2.9        2.8      189        7.6        0.4        3.9        0.00      978.21          1      10.9        1.8        6.8        7.4        7.4        6.0        7.0        1.54        1.53        1.52
		  SLAP        86          0          37        6.8        4.0        3.9      225        5.5        0.3        4.7        0.00      920.19          4      10.8        1.0        7.6        7.7        8.0        5.1        5.4        1.64        1.88        1.98
	  SPEN        87          0          36      11.9        2.6        2.5      205      14.1        0.6        3.8        0.00      968.37          2      12.9        1.6        7.6        7.9        8.1        6.6        7.2        1.48        1.56        1.42
	                     STIG        88          0          66        6.6        1.6        1.6      168        2.8        0.1        1.7        0.00      993.07          1      11.0        0.0        6.0        8.8        5.9        5.9        7.2        1.42        1.34        1.38
     STIL        89          0          36      12.8        2.4        2.3      189        9.5        0.4        3.6        0.00      979.30          1      13.8        1.5        6.4        7.5        6.5        5.6        6.9        1.47        1.58        1.46
    STUA        90          0          40      11.3        2.4        2.4      214        2.5        0.1        2.8        0.00      983.60          1      12.6        1.3        7.5        8.9        8.7        7.2        8.3        1.56        1.41        1.42
   SULP        91          0          39      10.7        2.6        2.6      220        7.5        0.4        3.4        0.00      976.23          2      12.1        1.4        7.3        7.6        8.1      -998      -998        1.54        -998        -998
   TAHL        92          0          56        6.7        1.6        1.6      170        4.9        0.2        2.0        0.00      978.95          0        8.7        0.9        7.0        8.1        7.1      -998      -998        1.66        -998        -998
    TALA      138          0          60        6.6        5.1        5.1      177        2.0        0.2        5.8        0.00      984.82          1        8.9        2.7        3.7        3.6        4.1        3.1        5.8        1.34        1.42        1.40
    TALI        93          0          37      10.2        1.0        1.0      168        6.7        0.1        1.1        0.00      990.14          1      12.2        0.5        7.0        9.0        6.9        6.6      -998        1.32        1.40        -998
   TIPT        94          0          40      11.6        4.5        4.5      178        2.9        0.2        5.1        0.00      967.94          6      13.0        2.5        7.2        9.2        7.4        6.7        8.2        1.78        1.64        1.64
    TISH        95          0          41      10.7        3.4        3.4      224        3.3        0.3        4.3        0.00      982.55          2      12.8        1.9        7.7        9.4        8.2        6.6      -998        1.43        1.56        -998
   TULN      137          0          41      11.7        2.8        2.8      183        7.9        0.6        4.2        0.00      987.56          1      12.4        2.1        5.6        6.9        6.2        5.2        6.7        1.44        1.39        1.36
  VALL      140          0          48      10.0        0.9        0.9      198        3.9        0.2        1.3        0.00    1000.61          1      12.6        0.0        8.4        9.7        9.0        8.1        9.6        1.45        1.47        1.42
  VINI        97          0          53        7.8        4.5        4.5      186        5.1        0.7        6.9        0.00      984.07          0        8.8        2.7        5.0        4.8        5.0        4.0        5.6        1.56        1.37        1.41
  WAL2      136          0          48      10.0        3.5        3.5      196        2.6        0.2        4.0        0.00      976.05          4      12.2        2.2        7.9        8.8        7.5        7.6        8.4        1.40        1.42        1.35
